계약일,자치구명,법정동명,건물명,물건금액(만원),평,평당금액(만원),층,건축년도,건물연령
2026-01-02,도봉구,창동,초안산신도브래뉴,58800,23.68545240039931,2482.5364956511744,9.0,2005.0,21.0
2026-01-02,노원구,월계동,청백3,34500,15.055812687176696,2291.473779385172,1.0,1998.0,28.0
2026-01-02,동대문구,전농동,청량리역롯데캐슬 SKY-L65,196000,25.707414465922497,7624.259540367847,39.0,2023.0,3.0
2026-01-02,강남구,청담동,청담르엘,390000,25.68865898296881,15181.79677104064,5.0,0.0,2026.0
2026-01-02,서대문구,홍제동,청구1차,107400,25.646610400217806,4187.6878980891715,11.0,1994.0,32.0
2026-01-02,강동구,길동,청광플러스원큐브2차,9900,4.384850409898055,2257.773715074163,13.0,2013.0,13.0
2026-01-02,동대문구,답십리동,청계푸르지오시티,14400,5.723447378770004,2515.966173361522,16.0,2015.0,11.0
2026-01-02,동대문구,답십리동,청계벽산메가트리움,75800,18.129291829264606,4181.078925412981,7.0,2006.0,20.0
2026-01-02,노원구,공릉동,태릉해링턴플레이스,104000,22.67295882868984,4586.9619746497665,15.0,2022.0,4.0
2026-01-02,마포구,창전동,창전동현대홈타운,159500,25.70650694255377,6204.654734166491,5.0,2005.0,21.0
2026-01-02,구로구,천왕동,천왕연지타운2단지,77000,25.710137036028677,2994.9276385457115,2.0,2014.0,12.0
2026-01-02,강남구,도곡동,우성리빙텔,190000,36.0740539068881,5266.943396226415,9.0,1996.0,30.0
2026-01-02,동대문구,이문동,쌍용,89400,18.14744229663914,4926.314052342056,6.0,2000.0,26.0
2026-01-02,중랑구,면목동,쌍용더플래티넘용마산,100000,22.705629669964004,4404.194089903807,4.0,2020.0,6.0
2026-01-02,강북구,미아동,에스케이북한산시티,59000,18.14441721874338,3251.6888962987664,1.0,2004.0,22.0
2026-01-02,서대문구,홍제동,유원하나,59500,24.91151647154914,2388.4535519125684,9.0,1996.0,30.0
2026-01-02,노원구,월계동,월계센트럴아이파크,106800,25.710137036028677,4154.003529827039,5.0,2020.0,6.0
2026-01-02,성북구,종암동,아이파크종암동1차,119000,34.785370723296126,3420.9783459431255,15.0,2004.0,22.0
2026-01-02,성북구,정릉동,정릉꿈에그린,80000,18.03853949239193,4434.948851249371,5.0,2015.0,11.0
2026-01-02,동대문구,이문동,중앙하이츠빌,82000,25.655685633905076,3196.1726211531654,20.0,2002.0,24.0
